,Vocab,Syllables
1407,spilled,1.0
1408,soap,1.0
1409,feels,1.0
1410,seven,2.0
1411,grandma's,2.0
1412,vanishes,3.0
1413,rants,1.0
1414,valentines,3.0
1415,wren's,1.0
1416,sneaking,2.0
1417,break,1.0
1418,shift,1.0
1419,onions,2.0
1420,indoors,2.0
1421,bagels,2.0
1422,pictures,2.0
1423,wind,1.0
1424,sill,1.0
1425,housing,2.0
1426,curtains,2.0
1427,speak,1.0
1428,froan,
1429,low,1.0
1430,chrysalis,3.0
1431,withered,2.0
1432,lull,1.0
1433,snow,1.0
1434,waiting,2.0
1435,crossroads,2.0
1436,level,2.0
1437,cider,2.0
1438,bluegrass,2.0
1439,unwritten,3.0
1440,catches,2.0
1441,Walking,2.0
1442,essence,2.0
1443,wake,1.0
1444,friendship,2.0
1445,restless,2.0
1446,pavement,2.0
1447,shade,1.0
1448,dinner,2.0
1449,God,1.0
1450,sleeping,2.0
1451,aimed,1.0
1452,end,1.0
1453,rebels,2.0
1454,disappeared,3.0
1455,X's,1.0
1456,empire,2.0
1457,apple,2.0
1458,bonfire's,2.0
1459,difficult,3.0
1460,peep,1.0
1461,graduation,4.0
1462,cave,1.0
1463,aisle,1.0
1464,howl,1.0
1465,maple,2.0
1466,fit,1.0
1467,bird's,1.0
1468,symphony,3.0
1469,forward,2.0
1470,arrived,2.0
1471,lotus,2.0
1472,wrinkle,2.0
1473,per,1.0
1474,tomorrow,3.0
1475,embassy,3.0
1476,yew,1.0
1477,Square,1.0
1478,water,2.0
1479,gleaners,2.0
1480,forgotten,3.0
1481,tractor,2.0
1482,tie,1.0
1483,chase,1.0
1484,hawks,1.0
1485,yet,1.0
1486,Vegas,2.0
1487,unsigned,2.0
1488,ropes,1.0
1489,Sun,1.0
1490,twirl,1.0
1491,croissant,2.0
1492,blackbird's,2.0
1493,must,1.0
1494,Cherry,2.0
1495,lit,1.0
1496,swim,1.0
1497,flight,1.0
1498,nuclear,2.0
1499,windfall,2.0
1500,ache,1.0
1501,mole,1.0
1502,collecting,3.0
1503,gleam,1.0
1504,Cassiopeia,5.0
1505,voodoo,2.0
1506,customs',
1507,homeless,2.0
1508,counter,2.0
1509,expected,3.0
1510,victory,3.0
1511,tucked,1.0
1512,eyes,1.0
1513,fields,1.0
1514,fathers,2.0
1515,reach,1.0
1516,met,1.0
1517,await,2.0
1518,canal,2.0
1519,bead,1.0
1520,George,1.0
1521,munch,1.0
1522,camellias,4.0
1523,pills,1.0
1524,awhile,2.0
1525,hill,1.0
1526,outage,2.0
1527,drizzle,2.0
1528,GI's,2.0
1529,Buddhists,2.0
1530,Iran,2.0
1531,marks,1.0
1532,Fountain,2.0
1533,preens,1.0
1534,thyme,1.0
1535,chin,1.0
1536,sand,1.0
1537,tasting,2.0
1538,sprout,1.0
1539,amongst,2.0
1540,evanesce,3.0
1541,cosy,2.0
1542,cookies,2.0
1543,sags,1.0
1544,walnuts,2.0
1545,needed,2.0
1546,tinted,2.0
1547,Croton,2.0
1548,Army,2.0
1549,shuts,1.0
1550,sycamores,3.0
1551,journey's,2.0
1552,deaf,1.0
1553,mulled,1.0
1554,worm,1.0
1555,signs,1.0
1556,ocean,2.0
1557,cover,2.0
1558,staring,2.0
1559,hailstorm,2.0
1560,absorb,2.0
1561,dart,1.0
1562,graze,1.0
1563,wags,1.0
1564,Veterans',3.0
1565,hyacinth,3.0
1566,pinch,1.0
1567,Jesus,2.0
1568,chile,2.0
1569,severe,2.0
1570,spider,2.0
1571,How,1.0
1572,easing,2.0
1573,toilet,2.0
1574,Friday,2.0
1575,cloudy,2.0
1576,pane,1.0
1577,coast,1.0
1578,daffodils,3.0
1579,fever,2.0
1580,fire,1.0
1581,groom's,1.0
1582,linen,2.0
1583,gauze,1.0
1584,clearly,2.0
1585,sides,1.0
1586,fancy,2.0
1587,returning,3.0
1588,unrolling,3.0
1589,plucked,1.0
1590,night,1.0
1591,lays,1.0
1592,rope,1.0
1593,This,1.0
1594,stem,1.0
1595,so,1.0
1596,geminids,3.0
1597,vanished,2.0
1598,carved,1.0
1599,released,2.0
1600,curve,1.0
1601,moved,1.0
1602,prayers,2.0
1603,hadn't,1.0
1604,seasons,2.0
1605,nights,1.0
1606,connects,2.0
1607,bud,1.0
1608,passionately,4.0
1609,lower,2.0
1610,sauerkraut,3.0
1611,blizzard,2.0
1612,clematis,3.0
1613,weeping,2.0
1614,whiskers,2.0
1615,nails,1.0
1616,waited,2.0
1617,sing,1.0
1618,doubts,1.0
1619,evergreens,3.0
1620,bible,2.0
1621,stump,1.0
1622,ended,2.0
1623,blossoms,2.0
1624,moonrise,2.0
1625,dish,1.0
1626,asks,1.0
1627,fireweed,2.0
1628,cooled,1.0
1629,harp,1.0
1630,twelfth,1.0
1631,caught,1.0
1632,grove,1.0
1633,standard,2.0
1634,gases,2.0
1635,trills,1.0
1636,fruitcake,2.0
1637,summit,2.0
1638,leech,1.0
1639,Splat,1.0
1640,gutted,2.0
1641,blown,1.0
1642,perseid,3.0
1643,summer,2.0
1644,gnats,1.0
1645,tropical,3.0
1646,storey,2.0
1647,much,1.0
1648,eighty,2.0
1649,clatter,2.0
1650,laureates,2.0
1651,you,1.0
1652,Office,2.0
1653,una,2.0
1654,brightens,2.0
1655,nothing,2.0
1656,highway,2.0
1657,brass,1.0
1658,sweeps,1.0
1659,audible,3.0
1660,narrow,2.0
1661,available,4.0
1662,twins,1.0
1663,rumors,2.0
1664,tonic,2.0
1665,bulbs,1.0
1666,resume,2.0
1667,fogged,1.0
1668,O,1.0
1669,almost,2.0
1670,echoing,3.0
1671,sitting,2.0
1672,clung,1.0
1673,brushed,1.0
1674,mist,1.0
1675,unhurried,3.0
1676,Halloween,3.0
1677,crackle,2.0
1678,unwanted,3.0
1679,recall,2.0
1680,home,1.0
1681,Gazing,2.0
1682,schoolhouse,2.0
1683,stocks,1.0
1684,speeds,1.0
1685,answer,2.0
1686,watches,2.0
1687,carbide,2.0
1688,ancient,2.0
1689,dump,1.0
1690,man,1.0
1691,cleaner's,2.0
1692,Scrabble,2.0
1693,separating,4.0
1694,odds,1.0
1695,ticket,2.0
1696,Russian,2.0
1697,lichen,2.0
1698,rough,1.0
1699,part,1.0
1700,softer,2.0
1701,bumps,1.0
1702,mood,1.0
1703,pelican,3.0
1704,dusk,1.0
1705,splutters,2.0
1706,how,1.0
1707,raining,2.0
1708,balancing,3.0
1709,chuntering,3.0
1710,daughter,2.0
1711,glimmer,2.0
1712,adjusts,2.0
1713,handing,2.0
1714,August,2.0
1715,cuckoo's,2.0
1716,day,1.0
1717,Dark,1.0
1718,frosty,2.0
1719,sage,1.0
1720,Wednesday,2.0
1721,terminal,3.0
1722,shower,2.0
1723,you,1.0
1724,intertwined,3.0
1725,toys,1.0
1726,benefits,3.0
1727,pointing,2.0
1728,guest,1.0
1729,limit,2.0
1730,Upper,2.0
1731,hose,1.0
1732,marble,2.0
1733,crow's,1.0
1734,during,2.0
1735,curry,2.0
1736,picked,1.0
1737,shrine,1.0
1738,streams,1.0
1739,ploughing,2.0
1740,heroins,2.0
1741,school,1.0
1742,tries,1.0
1743,breath,1.0
1744,interrupts,3.0
1745,dives,2.0
1746,courting,2.0
1747,intake,2.0
1748,nearby,2.0
1749,pond,1.0
1750,grapevine,2.0
1751,fish,1.0
1752,refunds,2.0
1753,like,1.0
1754,insistent,3.0
1755,parked,1.0
1756,east,1.0
1757,redness,2.0
1758,sleety,2.0
1759,spill,1.0
1760,shelves,1.0
1761,zillion,2.0
1762,temperature,4.0
1763,scales,1.0
1764,spade,1.0
1765,lifelines,3.0
1766,race,1.0
1767,Party,2.0
1768,furniture,3.0
1769,sniffs,1.0
1770,rubble,2.0
1771,grassy,2.0
1772,cloak,1.0
1773,chat,1.0
1774,weather,2.0
1775,have,1.0
1776,that,1.0
1777,se,1.0
1778,golfers,2.0
1779,Minister's,3.0
1780,force,1.0
1781,equinox,3.0
1782,flower,2.0
1783,luminous,3.0
1784,nightstand,2.0
1785,Five,1.0
1786,sirens,2.0
1787,calling,2.0
1788,impartial,3.0
1789,wreath,1.0
1790,train,1.0
1791,They,1.0
1792,surface,2.0
1793,quilt,1.0
1794,clinging,2.0
1795,Unabridged,3.0
1796,below,2.0
1797,bone,1.0
1798,straddles,2.0
1799,tracks,1.0
1800,haven't,1.0
1801,pushing,2.0
1802,sundown,2.0
1803,ribbon,2.0
1804,resting,2.0
1805,off,1.0
1806,Mom,1.0
1807,Venus,2.0
1808,Dancing,2.0
1809,police,2.0
1810,Over,2.0
1811,teapot,2.0
1812,ceiling,2.0
1813,learn,1.0
1814,grass,1.0
1815,nightfall,2.0
1816,desert,2.0
1817,skip,1.0
1818,pure,1.0
1819,heron,2.0
1820,shows,1.0
1821,junk,1.0
1822,lake's,1.0
1823,imported,3.0
1824,Jasmine,2.0
1825,preacher's,3.0
1826,buds,1.0
1827,whom,1.0
1828,flag,1.0
1829,decaf,2.0
1830,obituary,5.0
1831,wonder,2.0
1832,whiskey,2.0
1833,revise,2.0
1834,shoe,1.0
1835,leaf,1.0
1836,fog,1.0
1837,invasion,3.0
1838,nursing,2.0
1839,label,2.0
1840,guards,1.0
1841,glass,1.0
1842,nappy,2.0
1843,helicopter,4.0
1844,ghosts,1.0
1845,leg,1.0
1846,stillness,2.0
1847,drive,1.0
1848,electric,3.0
1849,hardly,2.0
1850,DeSoto,
1851,notch,1.0
1852,lunchtime,2.0
1853,calm,1.0
1854,Avenue,3.0
1855,sturgeon,2.0
1856,scarecrow's,
1857,hand,1.0
1858,extemporise,4.0
1859,Canada,3.0
1860,mill,1.0
1861,void,1.0
1862,mandarin,3.0
1863,nodding,2.0
1864,Yellow,2.0
1865,cottonwood,3.0
1866,shape,1.0
1867,views,1.0
1868,snores,1.0
1869,biting,2.0
1870,until,2.0
1871,blinking,2.0
1872,far,1.0
1873,We,1.0
1874,azalea,3.0
1875,Madison,3.0
1876,others,2.0
1877,pond's,
1878,prison,2.0
1879,March,1.0
1880,lightning's,2.0
1881,hasn't,1.0
1882,nostalgia,3.0
1883,Nehru,2.0
1884,days,1.0
1885,creeps,1.0
1886,dignified,3.0
1887,thickens,2.0
1888,acorns,2.0
1889,blossoms,2.0
1890,disused,2.0
1891,skateboards,2.0
1892,frosted,2.0
1893,plantation,3.0
1894,lace,1.0
1895,shaking,2.0
1896,sleigh,1.0
1897,freeze,1.0
1898,Mustang,2.0
1899,reappears,3.0
1900,mortar,2.0
1901,fills,1.0
1902,Tea,1.0
1903,things,1.0
1904,day,1.0
1905,October,3.0
1906,apples,2.0
1907,untuned,2.0
1908,descending,3.0
1909,Prime,1.0
1910,lamb's,1.0
1911,orthopedist's,
1912,birthdays,2.0
1913,fine,1.0
1914,drops,1.0
1915,Independence,4.0
1916,mantelpiece,3.0
1917,thaw,1.0
1918,colored,2.0
1919,riot,2.0
1920,plugging,2.0
1921,elm,1.0
1922,Eve,1.0
1923,babies,2.0
1924,carpenter,3.0
1925,van,1.0
1926,intermittent,4.0
1927,tobacco,3.0
1928,April,2.0
1929,filling,2.0
1930,sowing,2.0
1931,roses,2.0
1932,nail,1.0
1933,putting,2.0
1934,Perseids,
1935,Orange,2.0
1936,folds,1.0
1937,students,2.0
1938,disorder,3.0
1939,nudist,2.0
1940,corners,2.0
1941,air,1.0
1942,churchyard,2.0
1943,sealed,1.0
1944,general,3.0
1945,whiteout,2.0
1946,nap,1.0
1947,Confucius,3.0
1948,tidy,2.0
1949,flares,1.0
1950,click,1.0
1951,sword,1.0
1952,bunch,1.0
1953,pots,1.0
1954,sub,1.0
1955,passover,3.0
1956,woodpecker's,3.0
1957,flails,1.0
1958,lizard's,2.0
1959,Cold,1.0
1960,fireworks,2.0
1961,housing,2.0
1962,newly,2.0
1963,hilltop,2.0
1964,chill,1.0
1965,young,1.0
1966,blooming,2.0
1967,find,1.0
1968,man's,1.0
1969,hearth,1.0
1970,softening,3.0
1971,acquaintance,3.0
1972,which,1.0
1973,causes,2.0
1974,outshine,2.0
1975,disappear,3.0
1976,become,2.0
1977,egret's,
1978,garden,2.0
1979,holiday,3.0
1980,caged,1.0
1981,sky,1.0
1982,wave,1.0
1983,thru,1.0
1984,sad,1.0
1985,bring,1.0
1986,book,1.0
1987,sips,1.0
1988,smooch,1.0
1989,bouquets,2.0
1990,Apple,2.0
1991,wharf,1.0
1992,breasts,1.0
1993,blinded,2.0
1994,Advents,2.0
1995,marvels,2.0
1996,hollyhocks,3.0
1997,puppy,2.0
1998,boy,1.0
1999,notice,2.0
2000,seawater,3.0
2001,automatic,4.0
2002,action,2.0
2003,Perseids,
2004,breeze,1.0
2005,castle,2.0
2006,snaps,1.0
2007,pony's,2.0
2008,divorced,2.0
2009,journals,2.0
2010,jogger,2.0
2011,hellebore,3.0
2012,bleed,1.0
2013,unshaved,2.0
2014,past,1.0
2015,worn,1.0
2016,Foggy,2.0
2017,tattered,2.0
2018,pasture,2.0
2019,puffed,1.0
2020,stirs,1.0
2021,icebergs,3.0
2022,hare,1.0
2023,soothes,1.0
2024,large,1.0
2025,punctuated,4.0
2026,noise,1.0
2027,breathing,2.0
2028,glove,1.0
2029,potato,3.0
2030,Robins,2.0
2031,bursting,2.0
2032,caboose,2.0
2033,horns,1.0
2034,explosion,3.0
2035,July,2.0
2036,sales,1.0
2037,babblers,2.0
2038,outgoing,3.0
2039,scorching,2.0
2040,pauses,2.0
2041,shine,1.0
2042,chair,1.0
2043,aspen,2.0
2044,neighborhood,3.0
2045,belly,2.0
2046,say,1.0
2047,deer,1.0
2048,daisies,2.0
2049,cauliflower,4.0
2050,appear,2.0
2051,awaits,2.0
2052,artist,2.0
2053,evergreens,3.0
2054,barely,2.0
2055,mothers,2.0
2056,pitch,1.0
2057,ripening,3.0
2058,obscured,2.0
2059,floats,1.0
2060,pink,1.0
2061,cheap,1.0
2062,few,1.0
2063,parted,2.0
2064,brief,1.0
2065,cans,1.0
2066,gunshots,2.0
2067,deer,1.0
2068,aches,1.0
2069,lot,1.0
2070,feet,1.0
2071,gloomy,2.0
2072,hour,1.0
2073,spread,1.0
2074,silk,1.0
2075,coffee,2.0
2076,worm's,1.0
2077,burl,1.0
2078,campsite,2.0
2079,rubber,2.0
2080,crunchy,2.0
2081,straw,1.0
2082,dipping,2.0
2083,snow,1.0
2084,teakettle,3.0
2085,agenda,3.0
2086,banker,2.0
2087,clings,1.0
2088,solstice,2.0
2089,railings,2.0
2090,stony,2.0
2091,checks,1.0
2092,approach,2.0
2093,minimal,3.0
2094,mahjong,2.0
2095,Book,1.0
2096,flirting,2.0
2097,cover's,
2098,upfloats,
2099,listens,2.0
2100,does,1.0
2101,blur,1.0
2102,curved,1.0
2103,aimlessly,3.0
2104,funny,2.0
2105,stares,1.0
2106,tremble,2.0
2107,poles,1.0
2108,seashells,2.0
2109,blood,1.0
2110,blade,1.0
2111,tanks,1.0
2112,moonlight,2.0
2113,despite,2.0
2114,evening,2.0
2115,eyelids,2.0
2116,stream,1.0
2117,ten,1.0
2118,crocuses,3.0
2119,undressed,2.0
2120,cellular,3.0
2121,farts,1.0
2122,covering,3.0
2123,drizzle,2.0
2124,television,4.0
2125,mosquitoes,3.0
2126,drizzle,2.0
2127,Armistice,3.0
2128,forced,1.0
2129,glinting,2.0
2130,efficiency,4.0
2131,Emmett,2.0
2132,leaves,1.0
2133,Patient,2.0
2134,seems,1.0
2135,lonely,2.0
2136,wavers,2.0
2137,recognize,3.0
2138,blueberry,3.0
2139,traffic,2.0
2140,schoolgirls,2.0
2141,epiphany,4.0
2142,got,1.0
2143,dumps,1.0
2144,transport,2.0
2145,duck,1.0
2146,goodbyes,2.0
2147,thatch,1.0
2148,gardener,3.0
2149,tantrum,2.0
2150,would,1.0
2151,scream,1.0
2152,Magnolia,3.0
2153,before,2.0
2154,money,2.0
2155,Donkeys,2.0
2156,segments,2.0
2157,stubborn,2.0
2158,Patrick's,2.0
2159,page,1.0
2160,drags,1.0
2161,revival,3.0
2162,unlocking,3.0
2163,whole,1.0
2164,At,1.0
2165,arc,1.0
2166,paint,1.0
2167,flashmob,
2168,sparrows,2.0
2169,ball,1.0
2170,ledge,1.0
2171,mum,1.0
2172,midnight,2.0
2173,today's,2.0
2174,grown,1.0
2175,An,1.0
2176,confusion,3.0
2177,market,2.0
2178,continues,3.0
2179,universe,3.0
2180,thirteenth,2.0
2181,passing,2.0
2182,Out,1.0
2183,transfer,2.0
2184,diet,2.0
2185,driveway,2.0
2186,size,1.0
2187,horned,1.0
2188,Ash,1.0
2189,roman,2.0
2190,yarn,1.0
2191,weathered,2.0
2192,melodies,3.0
2193,town's,1.0
2194,left,1.0
2195,muezzin's,
2196,seeker,2.0
2197,sandbox,2.0
2198,compares,2.0
2199,glowworm,2.0
2200,wagon,2.0
2201,strawberry,3.0
2202,creosote,3.0
2203,pleasure,2.0
2204,setting,2.0
2205,mayo,2.0
2206,Late,1.0
2207,tornado,3.0
2208,hut,1.0
2209,end,1.0
2210,beauty,2.0
2211,thinks,1.0
2212,picks,1.0
2213,zucchini,3.0
2214,heavens,2.0
2215,cleaning,2.0
2216,tripoli,3.0
2217,hail,1.0
2218,lapel,2.0
2219,settling,2.0
2220,bee,1.0
2221,shirt,1.0
2222,circling,2.0
2223,third,1.0
2224,above,2.0
2225,assurances,4.0
2226,i'd,1.0
2227,fog,1.0
2228,colt,1.0
2229,sky,1.0
2230,revealed,2.0
2231,moon,1.0
2232,mask,1.0
2233,having,2.0
2234,wren,1.0
2235,wander,2.0
2236,accident,3.0
2237,american,4.0
2238,blast,1.0
2239,thunderhead,3.0
2240,child,1.0
2241,howls,1.0
2242,sizzles,2.0
2243,pansies,2.0
2244,warm,1.0
2245,favorite,3.0
2246,lists,1.0
2247,whirlpool,2.0
2248,rains,1.0
2249,passed,1.0
2250,alchemy,3.0
2251,climbing,2.0
2252,smiles,1.0
2253,briefly,2.0
2254,clenched,1.0
2255,milky,2.0
2256,promises,3.0
2257,drenched,1.0
2258,cabin,2.0
2259,walk,1.0
2260,fries,1.0
2261,shatters,2.0
2262,stress,1.0
2263,–,
2264,potholes,2.0
2265,ghetto,2.0
2266,covid,2.0
2267,station,2.0
2268,zither,2.0
2269,dark,1.0
2270,wisteria,4.0
2271,loans,1.0
2272,loaned,1.0
2273,startup,2.0
2274,Black,1.0
2275,refrigerator,5.0
2276,daytime,2.0
2277,coming,2.0
2278,enjoying,3.0
2279,coo,1.0
2280,murmur,2.0
2281,de,1.0
2282,proudly,2.0
2283,overhead,3.0
2284,awoken,3.0
2285,hell,1.0
2286,make,1.0
2287,washer,2.0
2288,myself,2.0
2289,oatmeal,2.0
2290,spider's,2.0
2291,lures,1.0
2292,candle,2.0
2293,oncologist,4.0
2294,Distant,2.0
2295,Lake,1.0
2296,burn,1.0
2297,Ed,1.0
2298,flying,2.0
2299,roofs,1.0
2300,legs,1.0
2301,goings,2.0
2302,birches,2.0
2303,merge,1.0
2304,gaze,1.0
2305,batch,1.0
2306,strašna,
2307,purse,1.0
2308,alone,2.0
2309,Saturn,2.0
2310,instructions,3.0
2311,collected,3.0
2312,Wild,1.0
2313,squeak,1.0
2314,Hampton,2.0
2315,encroaches,3.0
2316,pathless,2.0
2317,sax,1.0
2318,shaping,2.0
2319,alligator,4.0
2320,berries,2.0
2321,duty,2.0
2322,muster,2.0
2323,concentration,4.0
2324,false,1.0
2325,overtime,3.0
2326,cane,1.0
2327,moon,1.0
2328,tourist,2.0
2329,yo,1.0
2330,deck,1.0
2331,strand,1.0
2332,widespread,2.0
2333,shared,1.0
2334,gym,1.0
2335,firewood,2.0
2336,drums,1.0
2337,Iraq's,
2338,limbs,1.0
2339,steam,1.0
2340,online,2.0
2341,length,1.0
2342,rose,1.0
2343,schedule,2.0
2344,rain,1.0
2345,orchid,2.0
2346,undressing,3.0
2347,clank,1.0
2348,dense,1.0
2349,marking,2.0
2350,headstones,2.0
2351,long,1.0
2352,proper,2.0
2353,UN,1.0
2354,migratory,4.0
2355,looking,2.0
2356,course,1.0
2357,behaviour,3.0
2358,Paper,2.0
2359,subzero,3.0
2360,drawer,2.0
2361,rushing,2.0
2362,home,1.0
2363,books,1.0
2364,sunday,2.0
2365,leaves,1.0
2366,Punctuation,4.0
2367,braiding,2.0
2368,glance,1.0
2369,gravesite,3.0
2370,damned,1.0
2371,insects,2.0
2372,sun,1.0
2373,montana,3.0
2374,breaker,2.0
2375,unblinking,3.0
2376,angry,2.0
2377,maple's,2.0
2378,stories,2.0
2379,outlines,2.0
2380,shorten,2.0
2381,dissipates,3.0
2382,English,2.0
2383,goodnight,2.0
2384,rainy,2.0
2385,carried,2.0
2386,Gray,1.0
2387,drought,1.0
2388,butter,2.0
2389,bushfire,2.0
2390,tabby,2.0
2391,aside,2.0
2392,downstairs,2.0
2393,sobs,1.0
2394,dissolving,3.0
2395,pekoe,2.0
2396,projects,2.0
2397,mother,2.0
2398,stallion's,
2399,fireworks,2.0
2400,Fourth,1.0
2401,Japanese,3.0
2402,earing,2.0
2403,duck's,1.0
2404,anchor,2.0
2405,Awake,2.0
2406,Awoken,3.0
2407,romance,2.0
2408,power,2.0
2409,glow,1.0
2410,chocolates,3.0
2411,scandal,2.0
2412,mixes,2.0
2413,zombie,2.0
2414,French,1.0
2415,contacts,2.0
2416,hall,1.0
2417,chapel,2.0
2418,cantaloupe,3.0
2419,eclipse,2.0
2420,cicadas,3.0
2421,sink,1.0
2422,downpour,2.0
2423,company,3.0
2424,is,1.0
2425,blows,1.0
2426,adds,1.0
2427,resist,2.0
2428,fifth,1.0
2429,carriage,2.0
2430,businessman,3.0
2431,shaved,1.0
2432,cities,2.0
2433,lump,1.0
2434,table,2.0
2435,washday,2.0
2436,lady,2.0
2437,turns,1.0
2438,sushi,2.0
2439,faded,2.0
2440,Bay,1.0
2441,crusted,2.0
2442,collector,3.0
2443,racing,2.0
2444,sticks,1.0
2445,fade,1.0
2446,breast,1.0
2447,piano,3.0
2448,brickwork,2.0
2449,blind,1.0
2450,flu,1.0
2451,melts,1.0
2452,first,1.0
2453,loving,2.0
2454,writes,1.0
2455,three,1.0
2456,awakes,2.0
2457,merging,2.0
2458,mobiles,2.0
2459,amazing,3.0
2460,tap,1.0
2461,rocking,2.0
2462,needs,1.0
2463,suburban,3.0
2464,both,1.0
2465,obscene,2.0
2466,stir,1.0
2467,split,1.0
2468,remembered,3.0
2469,reshaping,3.0
2470,shrieks,1.0
2471,owner,2.0
2472,smoker,2.0
2473,from,1.0
2474,plate,1.0
2475,upside,2.0
2476,good,1.0
2477,kiss,1.0
2478,February,4.0
2479,stacking,2.0
2480,fireflies,2.0
2481,butterfly,3.0
2482,somebody,3.0
2483,sweat,1.0
2484,bitter,2.0
2485,cow,1.0
2486,nasturtium,3.0
2487,shimmers,2.0
2488,America,4.0
2489,mouth,1.0
2490,showing,2.0
2491,zen,1.0
2492,carcass,2.0
2493,twelve,1.0
2494,flattened,2.0
2495,sister,2.0
2496,going,2.0
2497,march,1.0
2498,wispy,2.0
2499,veil,1.0
2500,grief,1.0
2501,deepens,2.0
2502,ends,1.0
2503,big,1.0
2504,nasturtiums,4.0
2505,watch,1.0
2506,linger,2.0
2507,mothballs,2.0
2508,curling,2.0
2509,red,1.0
2510,pall,1.0
2511,dilapidated,5.0
2512,entirely,3.0
2513,anticipation,5.0
2514,jerry,2.0
2515,smudged,1.0
2516,empties,2.0
2517,pieces,2.0
2518,He,1.0
2519,carnival,3.0
2520,further,2.0
2521,lasting,2.0
2522,nobody,3.0
2523,fox's,1.0
2524,shadows,2.0
2525,immigrant,3.0
2526,ruined,2.0
2527,wilderness,3.0
2528,getting,2.0
2529,crackles,2.0
2530,petals,2.0
2531,scotch,1.0
2532,wreaths,1.0
2533,stone,1.0
2534,freesias,3.0
2535,because,2.0
2536,riverbank,3.0
2537,between,2.0
2538,charred,1.0
2539,fuming,2.0
2540,leather,2.0
2541,cannot,2.0
2542,swan's,1.0
2543,tower,2.0
2544,fix,1.0
2545,songbirds',
2546,goat,1.0
2547,flaws,1.0
2548,somewhat,2.0
2549,exhale,2.0
2550,argue,2.0
2551,bedtime,2.0
2552,farewell,2.0
2553,cobwebs,2.0
2554,gusting,2.0
2555,bittersweet,3.0
2556,fishnet,2.0
2557,rays,1.0
2558,cross,1.0
2559,summer,2.0
2560,incomplete,3.0
2561,shaped,1.0
2562,misted,2.0
2563,them,1.0
2564,tightens,2.0
2565,they're,1.0
2566,journal,2.0
2567,whiteness,2.0
2568,sole,1.0
2569,scribble,2.0
2570,cicada,3.0
2571,seedy,2.0
2572,confession,3.0
2573,leading,2.0
2574,beams,1.0
2575,fluttering,3.0
2576,headline,2.0
2577,sun,1.0
2578,River,2.0
2579,neighbors',
2580,into,2.0
2581,neighbor's,2.0
2582,sick,1.0
2583,rising,2.0
2584,squashed,1.0
2585,beard,1.0
2586,wall,1.0
2587,anti,2.0
2588,skyscrapers,3.0
2589,moons,1.0
2590,seen,1.0
2591,melons,2.0
2592,tidal,2.0
2593,balcony's,3.0
2594,A,1.0
2595,apology,4.0
2596,nun,1.0
2597,feeder,2.0
2598,sailors,2.0
2599,tracery,3.0
2600,sardines,2.0
2601,canoe,2.0
2602,Solstice,2.0
2603,pollution,3.0
2604,dangerous,3.0
2605,loneliness,3.0
2606,Obama,3.0
2607,carries,2.0
2608,twenty,2.0
2609,deliver,3.0
2610,artists,2.0
2611,reports,2.0
2612,pleiades,3.0
2613,illness,2.0
2614,tyranny,3.0
2615,french,1.0
2616,sunray,2.0
2617,passed,1.0
2618,cellar,2.0
2619,matter,2.0
2620,Start,1.0
2621,stars,1.0
2622,pit,1.0
2623,awaken,3.0
2624,silence,2.0
2625,witching,2.0
2626,moonset,2.0
2627,magpie,2.0
2628,exhaled,2.0
2629,kingfisher,3.0
2630,conversation,4.0
2631,shut,1.0
2632,license,2.0
2633,stout,1.0
2634,rabbit,2.0
2635,corn,1.0
2636,stars,1.0
2637,Central,2.0
2638,choosing,2.0
2639,drilling,2.0
2640,wooly,2.0
2641,sheep,1.0
2642,gloves,1.0
2643,rust,1.0
2644,anniversary,5.0
2645,bowl,1.0
2646,pas,1.0
2647,final,2.0
2648,black,1.0
2649,tang,1.0
2650,fireworks,2.0
2651,striking,2.0
2652,winnow,2.0
2653,pollen,2.0
2654,flame,1.0
2655,zigzagging,3.0
2656,warning,2.0
2657,aunt,1.0
2658,tight,1.0
2659,whistle,2.0
2660,cleavage,2.0
2661,eighteenth,2.0
2662,keeping,2.0
2663,skylight,2.0
2664,anniversary,5.0
2665,rouses,2.0
2666,warehouse,2.0
2667,poking,2.0
2668,Hammers,2.0
2669,neglected,3.0
2670,usual,3.0
2671,poodle,2.0
2672,house,1.0
2673,mothers',2.0
2674,opaque,2.0
2675,amen,2.0
2676,lose,1.0
2677,after,2.0
2678,age,1.0
2679,prairie,2.0
2680,moment,2.0
2681,scrunched,1.0
2682,leash,1.0
2683,arctic,2.0
2684,beat,1.0
2685,soldier's,3.0
2686,lottery,3.0
2687,rosemary,3.0
2688,japanese,3.0
2689,planetarium,5.0
2690,aroma,3.0
2691,ripples,2.0
2692,pub's,1.0
2693,Grey,1.0
2694,clink,1.0
2695,gate,1.0
2696,war,1.0
2697,hers,1.0
2698,flicks,1.0
2699,side,1.0
2700,quick,1.0
2701,dandelion,4.0
2702,betrays,2.0
2703,train,1.0
2704,row,1.0
2705,grandfather's,3.0
2706,carry,2.0
2707,wail,1.0
2708,clinic,2.0
2709,recession,3.0
2710,unnerving,3.0
2711,cell,1.0
2712,drinking,2.0
2713,sneer,1.0
2714,drops,1.0
2715,Fire,1.0
2716,short,1.0
2717,rocks,1.0
2718,twice,1.0
2719,searches,2.0
2720,customer,3.0
2721,we,1.0
2722,doves,1.0
2723,elder,2.0
2724,advanced,2.0
2725,Empire,2.0
